pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_10头-12头,specInfo_8头-9头,specInfo_6头-7头,prodPcat_贝壳类,prodPcat_其他类
2022-07-21,5.0,202,3,7,-0.3294084822245302,-0.9441875088341994,5.0,5.0,5.5,5.5,5.35,True,False,False,True,False
2022-07-21,7.5,202,3,7,-0.3294084822245302,-0.9441875088341994,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-21,10.0,202,3,7,-0.3294084822245302,-0.9441875088341994,10.0,10.0,10.0,10.0,10.0,False,False,True,False,True
2022-07-21,10.0,202,3,7,-0.3294084822245302,-0.9441875088341994,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-21,5.5,202,3,7,-0.3294084822245302,-0.9441875088341994,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-21,7.5,202,3,7,-0.3294084822245302,-0.9441875088341994,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-22,5.0,203,4,7,-0.3456123126707333,-0.9383773917408642,5.0,5.0,5.5,5.5,5.333333333333333,True,False,False,True,False
2022-07-22,7.5,203,4,7,-0.3456123126707333,-0.9383773917408642,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-22,10.0,203,4,7,-0.3456123126707333,-0.9383773917408642,10.0,10.0,10.0,10.0,10.0,False,False,True,False,True
2022-07-22,5.5,203,4,7,-0.3456123126707333,-0.9383773917408642,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-22,7.5,203,4,7,-0.3456123126707333,-0.9383773917408642,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-22,10.0,203,4,7,-0.3456123126707333,-0.9383773917408642,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-23,7.5,204,5,7,-0.3617137307297674,-0.9322892131745134,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-23,10.0,204,5,7,-0.3617137307297674,-0.9322892131745134,10.0,10.0,10.0,10.0,10.0,False,False,True,False,True
2022-07-23,10.0,204,5,7,-0.3617137307297674,-0.9322892131745134,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-23,7.5,204,5,7,-0.3617137307297674,-0.9322892131745134,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-23,5.5,204,5,7,-0.3617137307297674,-0.9322892131745134,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-23,5.0,204,5,7,-0.3617137307297674,-0.9322892131745134,5.0,5.0,5.5,5.5,5.316666666666666,True,False,False,True,False
2022-07-24,10.0,205,6,7,-0.37770796520396466,-0.9259247771938499,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-24,5.5,205,6,7,-0.37770796520396466,-0.9259247771938499,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-24,7.5,205,6,7,-0.37770796520396466,-0.9259247771938499,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-24,10.0,205,6,7,-0.37770796520396466,-0.9259247771938499,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-07-24,7.5,205,6,7,-0.37770796520396466,-0.9259247771938499,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-24,5.0,205,6,7,-0.37770796520396466,-0.9259247771938499,5.0,5.0,5.5,5.5,5.3,True,False,False,True,False
2022-07-25,10.0,206,0,7,-0.39359027665646645,-0.9192859697186105,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-25,7.5,206,0,7,-0.39359027665646645,-0.9192859697186105,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-25,5.5,206,0,7,-0.39359027665646645,-0.9192859697186105,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-25,10.0,206,0,7,-0.39359027665646645,-0.9192859697186105,10.0,10.0,10.0,9.0,10.0,False,False,True,False,True
2022-07-25,7.5,206,0,7,-0.39359027665646645,-0.9192859697186105,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-25,5.0,206,0,7,-0.39359027665646645,-0.9192859697186105,5.0,5.0,5.5,5.5,5.283333333333333,True,False,False,True,False
2022-07-26,10.0,207,1,7,-0.4093559588156211,-0.9123747579707274,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-26,10.0,207,1,7,-0.4093559588156211,-0.9123747579707274,10.0,10.0,10.0,9.0,10.0,False,False,True,False,True
2022-07-26,5.5,207,1,7,-0.4093559588156211,-0.9123747579707274,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-26,7.5,207,1,7,-0.4093559588156211,-0.9123747579707274,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-26,5.0,207,1,7,-0.4093559588156211,-0.9123747579707274,5.0,5.0,5.5,5.5,5.266666666666667,True,False,False,True,False
2022-07-26,7.5,207,1,7,-0.4093559588156211,-0.9123747579707274,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-27,7.5,208,2,7,-0.42500033996955394,-0.9051931898913975,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-27,7.5,208,2,7,-0.42500033996955394,-0.9051931898913975,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-27,5.5,208,2,7,-0.42500033996955394,-0.9051931898913975,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-27,5.0,208,2,7,-0.42500033996955394,-0.9051931898913975,5.0,5.0,5.5,5.5,5.25,True,False,False,True,False
2022-07-27,10.0,208,2,7,-0.42500033996955394,-0.9051931898913975,10.0,10.0,10.0,9.0,10.0,False,False,True,False,True
2022-07-27,10.0,208,2,7,-0.42500033996955394,-0.9051931898913975,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-28,7.5,209,3,7,-0.4405187843504952,-0.8977433935342336,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-28,5.0,209,3,7,-0.4405187843504952,-0.8977433935342336,5.0,5.0,5.5,5.5,5.233333333333333,True,False,False,True,False
2022-07-28,7.5,209,3,7,-0.4405187843504952,-0.8977433935342336,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-28,10.0,209,3,7,-0.4405187843504952,-0.8977433935342336,10.0,10.0,10.0,9.0,10.0,False,False,True,False,True
2022-07-28,10.0,209,3,7,-0.4405187843504952,-0.8977433935342336,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-28,5.5,209,3,7,-0.4405187843504952,-0.8977433935342336,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-29,5.0,210,4,7,-0.455906693508459,-0.8900275764346766,5.0,5.0,5.5,5.5,5.216666666666667,True,False,False,True,False
2022-07-29,5.5,210,4,7,-0.455906693508459,-0.8900275764346766,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-29,10.0,210,4,7,-0.455906693508459,-0.8900275764346766,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-29,7.5,210,4,7,-0.455906693508459,-0.8900275764346766,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-29,7.5,210,4,7,-0.455906693508459,-0.8900275764346766,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-29,10.0,210,4,7,-0.455906693508459,-0.8900275764346766,10.0,10.0,10.0,9.0,10.0,False,False,True,False,True
2022-07-30,7.5,211,5,7,-0.47115950767386394,-0.8820480249558535,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-30,5.5,211,5,7,-0.47115950767386394,-0.8820480249558535,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-30,10.0,211,5,7,-0.47115950767386394,-0.8820480249558535,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-07-30,5.0,211,5,7,-0.47115950767386394,-0.8820480249558535,5.0,5.0,5.5,5.5,5.2,True,False,False,True,False
2022-07-30,7.5,211,5,7,-0.47115950767386394,-0.8820480249558535,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-30,10.0,211,5,7,-0.47115950767386394,-0.8820480249558535,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-31,10.0,212,6,7,-0.4862727071086902,-0.8738071036110807,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-07-31,10.0,212,6,7,-0.4862727071086902,-0.8738071036110807,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-07-31,7.5,212,6,7,-0.4862727071086902,-0.8738071036110807,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-07-31,5.5,212,6,7,-0.4862727071086902,-0.8738071036110807,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-07-31,7.5,212,6,7,-0.4862727071086902,-0.8738071036110807,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-07-31,5.0,212,6,7,-0.4862727071086902,-0.8738071036110807,5.0,5.0,5.5,5.5,5.183333333333334,True,False,False,True,False
2022-08-01,5.5,213,0,8,-0.5012418134457756,-0.8653072543632061,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-08-01,7.5,213,0,8,-0.5012418134457756,-0.8653072543632061,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-08-01,7.5,213,0,8,-0.5012418134457756,-0.8653072543632061,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-01,5.0,213,0,8,-0.5012418134457756,-0.8653072543632061,5.0,5.0,5.5,5.5,5.166666666666667,True,False,False,True,False
2022-08-01,10.0,213,0,8,-0.5012418134457756,-0.8653072543632061,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-01,10.0,213,0,8,-0.5012418134457756,-0.8653072543632061,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-02,10.0,214,1,8,-0.5160623910158526,-0.8565509959010037,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-02,7.5,214,1,8,-0.5160623910158526,-0.8565509959010037,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-08-02,10.0,214,1,8,-0.5160623910158526,-0.8565509959010037,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-02,5.0,214,1,8,-0.5160623910158526,-0.8565509959010037,5.0,5.0,5.5,5.5,5.15,True,False,False,True,False
2022-08-02,7.5,214,1,8,-0.5160623910158526,-0.8565509959010037,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-02,5.5,214,1,8,-0.5160623910158526,-0.8565509959010037,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-08-03,7.5,215,2,8,-0.5307300481619331,-0.8475409228928312,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-08-03,10.0,215,2,8,-0.5307300481619331,-0.8475409228928312,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-03,7.5,215,2,8,-0.5307300481619331,-0.8475409228928312,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-03,10.0,215,2,8,-0.5307300481619331,-0.8475409228928312,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-03,5.5,215,2,8,-0.5307300481619331,-0.8475409228928312,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-08-03,5.0,215,2,8,-0.5307300481619331,-0.8475409228928312,5.0,5.0,5.5,5.5,5.133333333333334,True,False,False,True,False
2022-08-04,7.5,216,3,8,-0.5452404385406507,-0.8382797052177745,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-08-04,5.5,216,3,8,-0.5452404385406507,-0.8382797052177745,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-08-04,7.5,216,3,8,-0.5452404385406507,-0.8382797052177745,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-04,5.0,216,3,8,-0.5452404385406507,-0.8382797052177745,5.0,5.0,5.5,5.5,5.116666666666666,True,False,False,True,False
2022-08-04,10.0,216,3,8,-0.5452404385406507,-0.8382797052177745,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-04,10.0,216,3,8,-0.5452404385406507,-0.8382797052177745,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-05,7.5,217,4,8,-0.5595892624101763,-0.828770087174504,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-05,5.5,217,4,8,-0.5595892624101763,-0.828770087174504,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
2022-08-05,5.0,217,4,8,-0.5595892624101763,-0.828770087174504,5.0,5.0,5.5,5.5,5.1,True,False,False,True,False
2022-08-05,10.0,217,4,8,-0.5595892624101763,-0.828770087174504,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-05,10.0,217,4,8,-0.5595892624101763,-0.828770087174504,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-05,7.5,217,4,8,-0.5595892624101763,-0.828770087174504,7.5,7.5,7.5,6.0,7.5,False,True,False,False,True
2022-08-06,7.5,218,5,8,-0.5737722679043243,-0.8190148866680802,7.5,7.5,7.5,7.5,7.5,False,True,False,True,False
2022-08-06,10.0,218,5,8,-0.5737722679043243,-0.8190148866680802,10.0,10.0,10.0,9.5,10.0,False,False,True,False,True
2022-08-06,10.0,218,5,8,-0.5737722679043243,-0.8190148866680802,10.0,10.0,10.0,10.0,10.0,False,False,True,True,False
2022-08-06,5.0,218,5,8,-0.5737722679043243,-0.8190148866680802,5.0,5.0,5.5,5.5,5.083333333333333,True,False,False,True,False
2022-08-06,5.5,218,5,8,-0.5737722679043243,-0.8190148866680802,5.5,5.5,5.5,3.5,5.5,True,False,False,False,True
