pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_<300g/冻,prodPcat_海水鱼
2022-08-11,5.0,223,3,8,-0.6420547132365636,-0.7666588193001592,5.0,5.0,4.950261780104712,4.1,4.985078534031413,True,True
2022-08-12,5.0,224,4,8,-0.655156357209085,-0.7554933140726804,5.0,5.0,4.952879581151833,4.1,4.986649214659686,True,True
2022-08-13,5.0,225,5,8,-0.6680638642135333,-0.7441039398713608,5.0,5.0,4.955497382198953,4.1,4.988132635253054,True,True
2022-08-14,5.0,226,6,8,-0.6807734094770159,-0.7324940716135792,5.0,5.0,4.958115183246074,4.1,4.989528795811519,True,True
2022-08-15,5.0,227,0,8,-0.6932812268869771,-0.7206671495538615,5.0,5.0,4.960732984293194,4.1,4.9908376963350785,True,True
2022-08-16,5.0,228,1,8,-0.7055836101071774,-0.70862667826446,5.0,5.0,4.963350785340314,4.1,4.9920593368237345,True,True
2022-08-17,5.0,229,2,8,-0.7176769136759615,-0.6963762255968726,5.0,5.0,4.965968586387435,4.1,4.993193717277487,True,True
2022-08-18,5.0,230,3,8,-0.7295575540864876,-0.6839194216246105,5.0,5.0,4.968586387434555,4.1,4.994240837696335,True,True
2022-08-19,5.0,231,4,8,-0.7412220108485957,-0.6712599575675315,5.0,5.0,4.971204188481676,4.1,4.9952006980802794,True,True
2022-08-20,5.0,232,5,8,-0.7526668275320083,-0.6584015846980489,5.0,5.0,4.973821989528796,4.1,4.9960732984293195,True,True
2022-08-21,5.0,233,6,8,-0.7638886127905429,-0.64534811322955,5.0,5.0,4.976439790575916,4.1,4.996858638743456,True,True
2022-08-22,5.0,234,0,8,-0.7748840413670406,-0.6321034111873488,5.0,5.0,4.979057591623037,4.1,4.997556719022687,True,True
2022-08-23,5.0,235,1,8,-0.7856498550787144,-0.6186714032625032,5.0,5.0,4.981675392670157,4.1,4.9981675392670155,True,True
2022-08-24,5.0,236,2,8,-0.7961828637826154,-0.6050560696488494,5.0,5.0,4.984293193717278,4.1,4.99869109947644,True,True
2022-08-25,5.0,237,3,8,-0.8064799463209447,-0.5912614448635782,5.0,5.0,4.986910994764398,4.1,4.99912739965096,True,True
2022-08-26,5.0,238,4,8,-0.8165380514459157,-0.5772916165517278,5.0,5.0,4.989528795811518,4.1,4.999476439790575,True,True
2022-08-27,5.0,239,5,8,-0.8263541987239094,-0.5631507242749187,5.0,5.0,4.992146596858639,4.1,4.999738219895288,True,True
2022-08-28,5.0,240,6,8,-0.8359254794186365,-0.5488429582847199,5.0,5.0,4.994764397905759,4.1,4.9999127399650956,True,True
2022-08-29,5.0,241,0,8,-0.8452490573530634,-0.5343725582809785,5.0,5.0,4.99738219895288,4.1,5.0,True,True
2022-08-30,5.0,242,1,8,-0.8543221697498269,-0.5197438121555157,5.0,5.0,5.0,4.1,5.0,True,True
2022-08-31,5.0,243,2,8,-0.8631421280499115,-0.5049610547215202,5.0,5.0,5.0,4.1,5.0,True,True
