pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_冻,prodPcat_海水鱼
2022-10-31,7.5,304,0,10,-0.8674563547295971,0.4975132889071803,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-01,7.5,305,1,11,-0.858763958275803,0.5123714121284235,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-02,7.5,306,2,11,-0.8498170915275277,0.5270777086423724,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-03,7.5,307,3,11,-0.8406184056344783,0.5416278206559811,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-04,7.5,308,4,11,-0.8311706263658079,0.5560174366570446,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-05,7.5,309,5,11,-0.8214765533024145,0.5702422926917867,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-06,7.5,310,6,11,-0.8115390590073611,0.5842981736283683,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-07,7.5,311,0,11,-0.801361088174677,0.5981809144059158,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-08,7.5,312,1,11,-0.7909456567567774,0.6118864012687242,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-09,7.5,313,2,11,-0.780295851070776,0.6254105729852457,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-10,7.5,314,3,11,-0.7694148268839381,0.6387494220515268,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-11,7.5,315,4,11,-0.7583058084785625,0.6518989958787125,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-12,7.5,316,5,11,-0.7469720876965551,0.6648553979642866,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-13,7.5,317,6,11,-0.7354170229639858,0.6776147890466887,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-14,7.5,318,0,11,-0.7236440382959124,0.690173388242972,7.5,7.5,7.5,6.5,7.5,True,True
2022-11-15,7.5,319,1,11,-0.711656622281775,0.7025274741691566,7.5,7.5,7.5,6.5,7.5,True,True
