pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-07-21,3.25,202,3,7,-0.3294084822245302,-0.9441875088341994,4.25,6.75,2.75,11.0,6.55,True,True
2022-07-22,4.0,203,4,7,-0.3456123126707333,-0.9383773917408642,3.25,6.75,3.0,11.0,6.583333333333333,True,True
2022-07-23,4.0,204,5,7,-0.3617137307297674,-0.9322892131745134,4.0,6.75,3.0,11.0,6.616666666666666,True,True
2022-07-24,4.0,205,6,7,-0.37770796520396466,-0.9259247771938499,4.0,6.75,3.0,11.0,6.65,True,True
2022-07-25,4.0,206,0,7,-0.39359027665646645,-0.9192859697186105,4.0,6.75,3.0833333333333335,11.0,6.680555555555555,True,True
2022-07-26,2.25,207,1,7,-0.4093559588156211,-0.9123747579707274,4.0,5.25,3.1666666666666665,11.0,6.65,True,True
2022-07-27,2.25,208,2,7,-0.42500033996955394,-0.9051931898913975,2.25,4.25,3.25,9.5,6.616666666666666,True,True
2022-07-28,2.5,209,3,7,-0.4405187843504952,-0.8977433935342336,2.25,3.25,8.5,9.5,6.416666666666667,True,True
2022-07-29,2.5,210,4,7,-0.455906693508459,-0.8900275764346766,2.5,4.0,7.5,6.0,6.25,True,True
2022-07-30,2.5,211,5,7,-0.47115950767386394,-0.8820480249558535,2.5,4.0,6.5,8.0,6.116666666666666,True,True
2022-07-31,2.5,212,6,7,-0.4862727071086902,-0.8738071036110807,2.5,4.0,6.5,7.166666666666667,5.983333333333333,True,True
2022-08-01,2.5,213,0,8,-0.5012418134457756,-0.8653072543632061,2.5,4.0,6.5,6.333333333333333,5.85,True,True
2022-08-02,3.25,214,1,8,-0.5160623910158526,-0.8565509959010037,2.5,2.25,6.5,5.5,5.741666666666666,True,True
2022-08-03,3.25,215,2,8,-0.5307300481619331,-0.8475409228928312,3.25,2.25,6.5,5.5,5.633333333333334,True,True
2022-08-04,3.5,216,3,8,-0.5452404385406507,-0.8382797052177745,3.25,2.5,6.5,5.5,5.533333333333333,True,True
2022-08-05,3.5,217,4,8,-0.5595892624101763,-0.828770087174504,3.5,2.5,6.5,5.5,5.433333333333334,True,True
2022-08-06,4.833333333333333,218,5,8,-0.5737722679043243,-0.8190148866680802,3.5,2.5,9.0,3.5,5.294444444444445,True,True
2022-08-07,6.166666666666666,219,6,8,-0.5877852522924734,-0.8090169943749472,4.833333333333333,2.5,10.5,3.5,5.15,True,True
2022-08-08,7.5,220,0,8,-0.6016240632249227,-0.7987793728863648,6.166666666666666,2.5,10.5,3.5,5.05,True,True
2022-08-09,6.5,221,1,8,-0.6152845999633277,-0.7883050558305253,7.5,3.25,10.5,3.5,4.916666666666667,True,True
2022-08-10,6.5,222,2,8,-0.6287628145958345,-0.7775971469736268,6.5,3.25,10.5,2.75,4.783333333333333,True,True
2022-08-11,6.5,223,3,8,-0.6420547132365636,-0.7666588193001592,6.5,3.5,10.5,2.5,4.65,True,True
2022-08-12,8.5,224,4,8,-0.655156357209085,-0.7554933140726804,6.5,3.5,8.5,2.5,4.65,True,True
2022-08-13,10.5,225,5,8,-0.6680638642135333,-0.7441039398713608,8.5,4.833333333333333,6.75,2.5,4.775,True,True
