pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_水菜
2022-09-20,3.25,263,1,9,-0.9829265519799822,-0.18399835165767986,3.25,4.25,4.464,3.0,4.356466666666666,True,True
2022-09-21,3.25,264,2,9,-0.9859481499638303,-0.1670516255021195,3.25,4.25,4.466,3.0,4.315933333333334,True,True
2022-09-22,3.25,265,3,9,-0.9886775902323404,-0.15005539834465262,3.25,4.25,4.468,3.25,4.275333333333333,True,True
2022-09-23,3.25,266,4,9,-0.9911140639934546,-0.13301470653419636,3.25,4.25,4.47,3.25,4.234666666666667,True,True
2022-09-24,3.05,267,5,9,-0.9932568492674143,-0.11593459959550066,3.25,3.9166666666666665,4.472,3.25,4.187266666666667,True,True
2022-09-25,2.85,268,6,9,-0.9951053111006974,-0.09882013873287211,3.05,3.5833333333333335,4.474,3.25,4.133133333333333,True,True
2022-09-26,2.65,269,0,9,-0.99665890175417,-0.08167639533042288,2.85,3.25,4.476,3.25,4.072266666666667,True,True
2022-09-27,2.65,270,1,9,-0.9979171608653922,-0.06450844944931625,2.65,3.25,4.478,3.25,4.011333333333333,True,True
2022-09-28,2.0,271,2,9,-0.9988797155850335,-0.04732138832243232,2.65,3.25,4.48,3.25,3.9286666666666665,True,True
2022-09-29,2.0,272,3,9,-0.9995462806873573,-0.03012030484690836,2.0,3.25,4.482,3.25,3.8459333333333334,True,True
2022-09-30,2.25,273,4,9,-0.9999166586547379,-0.012910296075008843,2.0,3.25,4.484,3.25,3.7714666666666665,True,True
2022-10-01,2.25,274,5,10,-0.9999907397361901,0.004303538296243821,2.25,3.05,4.486,3.25,3.696933333333333,True,True
2022-10-02,2.25,275,6,10,-0.9997685019798909,0.021516097436222233,2.25,2.85,4.488,3.25,3.6223333333333327,True,True
2022-10-03,2.25,276,0,10,-0.9992500112396835,0.03872228089217399,2.25,2.65,4.49,3.25,3.5476666666666663,True,True
2022-10-04,2.25,277,1,10,-0.9984354211555643,0.05591699010060302,2.25,2.65,4.492,3.25,3.4729333333333328,True,True
2022-10-05,2.25,278,2,10,-0.9973249731081555,0.07309512989807776,2.25,2.0,4.494,3.5,3.398133333333333,True,True
2022-10-06,2.25,279,3,10,-0.9959189961471792,0.0902516100310407,2.25,2.0,4.496,3.75,3.3232666666666666,True,True
2022-10-07,2.0,280,4,10,-0.994217906893952,0.10738134666416306,2.25,2.25,4.498,4.25,3.2399999999999998,True,True
2022-10-08,1.9166666666666667,281,5,10,-0.9922222094179324,0.12447926388678869,2.0,2.25,4.5,4.25,3.1538888888888885,True,True
2022-10-09,1.8333333333333333,282,6,10,-0.989932495087353,0.141540295217043,1.9166666666666667,2.25,5.25,4.25,3.0399999999999996,True,True
2022-10-10,1.75,283,0,10,-0.9873494423939864,0.15855938510313475,1.8333333333333333,2.25,4.916666666666667,4.25,2.9344444444444444,True,True
2022-10-11,1.75,284,1,10,-0.9844738167520923,0.17553149042142777,1.75,2.25,4.583333333333333,4.25,2.8399999999999994,True,True
2022-10-12,1.75,285,2,10,-0.9813064702716093,0.19245158197082995,1.75,2.25,4.25,4.25,2.7566666666666664,True,True
2022-10-13,1.75,286,3,10,-0.9778483415056567,0.20931464596304888,1.75,2.25,4.25,4.75,2.673333333333333,True,True
2022-10-14,1.25,287,4,10,-0.9741004551724206,0.22611568550828803,1.75,2.0,4.25,5.125,2.573333333333333,True,True
2022-10-15,1.25,288,5,10,-0.970063921851507,0.2428497220959358,1.25,1.9166666666666667,4.25,5.5,2.473333333333333,True,True
2022-10-16,1.25,289,6,10,-0.965739937654855,0.25951179706979943,1.25,1.8333333333333333,4.25,5.416666666666667,2.373333333333333,True,True
2022-10-17,1.25,290,0,10,-0.9611297838723007,0.27609697309746883,1.25,1.75,3.9166666666666665,5.333333333333333,2.2844444444444445,True,True
2022-10-18,1.25,291,1,10,-0.9562348265919058,0.2926003356333479,1.25,1.75,3.5833333333333335,5.25,2.206666666666666,True,True
2022-10-19,1.25,292,2,10,-0.9510565162951536,0.30901699437494723,1.25,1.75,3.25,5.25,2.14,True,True
2022-10-20,1.25,293,3,10,-0.9455963874271428,0.3253420847119795,1.25,1.75,3.25,5.25,2.0733333333333333,True,True
2022-10-21,1.25,294,4,10,-0.9398560579418953,0.341570769167856,1.25,1.25,3.25,5.25,2.006666666666667,True,True
2022-10-22,1.25,295,5,10,-0.9338372288229252,0.35769823883312546,1.25,1.25,3.25,5.25,1.9400000000000002,True,True
2022-10-23,1.25,296,6,10,-0.9275416835791965,0.3737197147904692,1.25,1.25,3.25,4.916666666666667,1.8733333333333335,True,True
2022-10-24,1.25,297,0,10,-0.9209712877166347,0.38963044953078774,1.25,1.25,3.05,4.583333333333333,1.8133333333333332,True,True
2022-10-25,1.25,298,1,10,-0.9141279881853337,0.4054257283599973,1.25,1.25,2.85,4.25,1.76,True,True
2022-10-26,1.25,299,2,10,-0.9070138128026362,0.42110087079608916,1.25,1.25,2.65,4.25,1.7133333333333334,True,True
2022-10-27,1.5,300,3,10,-0.8996308696522434,0.4366512319560638,1.25,1.25,2.65,4.25,1.675,True,True
2022-10-28,1.5,301,4,10,-0.8919813464595487,0.45207220393230374,1.5,1.25,2.0,4.25,1.6583333333333334,True,True
2022-10-29,1.5,302,5,10,-0.8840675099433637,0.46735921715800205,1.5,1.25,2.0,4.25,1.6416666666666666,True,True
2022-10-30,1.5,303,6,10,-0.8758917051442433,0.48250774176121763,1.5,1.25,2.25,4.1875,1.6166666666666667,True,True
2022-10-31,1.5,304,0,10,-0.8674563547295971,0.4975132889071803,1.5,1.25,2.25,4.125,1.5916666666666666,True,True
2022-11-01,1.5,305,1,11,-0.858763958275803,0.5123714121284235,1.5,1.25,2.25,4.0625,1.5666666666666667,True,True
2022-11-02,1.5,306,2,11,-0.8498170915275277,0.5270777086423724,1.5,1.25,2.25,4.0,1.5416666666666667,True,True
2022-11-03,1.5,307,3,11,-0.8406184056344783,0.5416278206559811,1.5,1.5,2.25,4.0,1.5166666666666666,True,True
2022-11-04,1.5,308,4,11,-0.8311706263658079,0.5560174366570446,1.5,1.5,2.25,3.25,1.4916666666666667,True,True
2022-11-05,1.5,309,5,11,-0.8214765533024145,0.5702422926917867,1.5,1.5,2.25,3.25,1.4666666666666666,True,True
2022-11-06,1.5,310,6,11,-0.8115390590073611,0.5842981736283683,1.5,1.5,2.0,3.25,1.45,True,True
2022-11-07,1.5,311,0,11,-0.801361088174677,0.5981809144059158,1.5,1.5,1.9166666666666667,3.25,1.4361111111111111,True,True
2022-11-08,1.5,312,1,11,-0.7909456567567774,0.6118864012687242,1.5,1.5,1.8333333333333333,3.25,1.425,True,True
2022-11-09,1.5,313,2,11,-0.780295851070776,0.6254105729852457,1.5,1.5,1.75,3.25,1.4166666666666667,True,True
