pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_750g左右/鲜,specInfo_500g左右/鲜,specInfo_250g左右/鲜,prodPcat_海水鱼
2023-04-14,20.0,104,4,4,0.9760105506323683,-0.21772323039653177,20.0,20.0,19.5,20.0,19.633333333333333,True,False,False,True
2023-04-14,16.5,104,4,4,0.9760105506323683,-0.21772323039653177,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-14,18.5,104,4,4,0.9760105506323683,-0.21772323039653177,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-15,20.0,105,5,4,0.9721181966290613,-0.23449138957040985,20.0,20.0,19.5,20.0,19.65,True,False,False,True
2023-04-15,16.5,105,5,4,0.9721181966290613,-0.23449138957040985,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-15,18.5,105,5,4,0.9721181966290613,-0.23449138957040985,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-16,20.0,106,6,4,0.9679377830240642,-0.25119006388481935,20.0,20.0,19.5,20.0,19.666666666666668,True,False,False,True
2023-04-16,16.5,106,6,4,0.9679377830240642,-0.25119006388481935,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-16,18.5,106,6,4,0.9679377830240642,-0.25119006388481935,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-17,20.0,107,0,4,0.9634705485641488,-0.2678143051621742,20.0,20.0,19.5,20.0,19.683333333333334,True,False,False,True
2023-04-17,16.5,107,0,4,0.9634705485641488,-0.2678143051621742,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-17,18.5,107,0,4,0.9634705485641488,-0.2678143051621742,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-18,16.5,108,1,4,0.9587178169872964,-0.2843591872810034,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-18,18.5,108,1,4,0.9587178169872964,-0.2843591872810034,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-18,20.0,108,1,4,0.9587178169872964,-0.2843591872810034,20.0,20.0,19.5,20.0,19.7,True,False,False,True
2023-04-19,18.5,109,2,4,0.9536809966304457,-0.30081980763566735,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-19,20.0,109,2,4,0.9536809966304457,-0.30081980763566735,20.0,20.0,19.5,20.0,19.716666666666665,True,False,False,True
2023-04-19,16.5,109,2,4,0.9536809966304457,-0.30081980763566735,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-20,18.5,110,3,4,0.9483615800121715,-0.3171912885891061,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-20,20.0,110,3,4,0.9483615800121715,-0.3171912885891061,20.0,20.0,19.5,20.0,19.733333333333334,True,False,False,True
2023-04-20,16.5,110,3,4,0.9483615800121715,-0.3171912885891061,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-21,18.5,111,4,4,0.9427611433904207,-0.3334687789181868,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-21,20.0,111,4,4,0.9427611433904207,-0.3334687789181868,20.0,20.0,19.5,20.0,19.75,True,False,False,True
2023-04-21,16.5,111,4,4,0.9427611433904207,-0.3334687789181868,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-22,18.5,112,5,4,0.9368813462954315,-0.3496474552512284,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-22,16.5,112,5,4,0.9368813462954315,-0.3496474552512284,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-22,20.0,112,5,4,0.9368813462954315,-0.3496474552512284,20.0,20.0,19.5,19.375,19.766666666666666,True,False,False,True
2023-04-23,16.5,113,6,4,0.9307239310379795,-0.36572252349726897,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-23,18.5,113,6,4,0.9307239310379795,-0.36572252349726897,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-23,20.0,113,6,4,0.9307239310379795,-0.36572252349726897,20.0,20.0,19.5,18.75,19.783333333333335,True,False,False,True
2023-04-24,16.5,114,0,4,0.9242907221930933,-0.3816892202666588,16.5,16.5,16.5,16.0,16.5,False,False,True,True
2023-04-24,18.5,114,0,4,0.9242907221930933,-0.3816892202666588,18.5,18.5,18.5,18.5,18.5,False,True,False,True
2023-04-24,20.0,114,0,4,0.9242907221930933,-0.3816892202666588,20.0,20.0,19.5,18.125,19.8,True,False,False,True
2023-04-25,16.5,115,1,4,0.9175836260593937,-0.39754281428255595,16.5,16.5,16.5,15.75,16.5,False,False,True,True
2023-04-25,18.5,115,1,4,0.9175836260593937,-0.39754281428255595,18.5,18.5,18.5,16.5,18.5,False,True,False,True
2023-04-25,20.0,115,1,4,0.9175836260593937,-0.39754281428255595,20.0,20.0,19.5,17.5,19.816666666666666,True,False,False,True
2023-04-26,18.5,116,2,4,0.9106046300942162,-0.4132786077829042,18.5,18.5,18.5,16.5,18.5,False,True,False,True
2023-04-26,20.0,116,2,4,0.9106046300942162,-0.4132786077829042,20.0,20.0,19.5,17.5,19.833333333333332,True,False,False,True
2023-04-26,16.5,116,2,4,0.9106046300942162,-0.4132786077829042,16.5,16.5,16.5,15.5,16.5,False,False,True,True
2023-04-27,20.0,117,3,4,0.9033558023246845,-0.4288919379124835,20.0,20.0,19.5,17.5,19.85,True,False,False,True
2023-04-27,16.5,117,3,4,0.9033558023246845,-0.4288919379124835,16.5,16.5,16.5,15.5,16.5,False,False,True,True
2023-04-27,18.5,117,3,4,0.9033558023246845,-0.4288919379124835,18.5,18.5,18.5,16.5,18.5,False,True,False,True
2023-04-28,20.0,118,4,4,0.895839290734909,-0.4443781781046132,20.0,20.0,19.5,17.5,19.866666666666667,True,False,False,True
2023-04-28,16.5,118,4,4,0.895839290734909,-0.4443781781046132,16.5,16.5,16.5,15.5,16.5,False,False,True,True
2023-04-28,18.5,118,4,4,0.895839290734909,-0.4443781781046132,18.5,18.5,18.5,16.5,18.5,False,True,False,True
2023-04-29,20.0,119,5,4,0.8880573226294932,-0.45973273945210397,20.0,20.0,19.5,16.5,19.883333333333333,True,False,False,True
2023-04-29,16.5,119,5,4,0.8880573226294932,-0.45973273945210397,16.5,16.5,16.5,15.0,16.5,False,False,True,True
2023-04-29,18.5,119,5,4,0.8880573226294932,-0.45973273945210397,18.5,18.5,18.5,16.0,18.5,False,True,False,True
2023-04-30,16.5,120,6,4,0.8800122039735357,-0.47495107206704995,16.5,16.5,16.5,15.0,16.5,False,False,True,True
2023-04-30,18.5,120,6,4,0.8800122039735357,-0.47495107206704995,18.5,18.5,18.5,16.0,18.5,False,True,False,True
2023-04-30,20.0,120,6,4,0.8800122039735357,-0.47495107206704995,20.0,20.0,19.5,16.5,19.9,True,False,False,True
2023-05-01,18.5,121,0,5,0.8717063187093218,-0.4900286664290592,18.5,18.5,18.5,16.0,18.5,False,True,False,True
2023-05-01,20.0,121,0,5,0.8717063187093218,-0.4900286664290592,20.0,20.0,19.5,16.5,19.916666666666668,True,False,False,True
2023-05-01,16.5,121,0,5,0.8717063187093218,-0.4900286664290592,16.5,16.5,16.5,15.0,16.5,False,False,True,True
2023-05-02,18.5,122,1,5,0.8631421280499114,-0.5049610547215204,18.5,18.5,18.5,16.0,18.5,False,True,False,True
2023-05-02,20.0,122,1,5,0.8631421280499114,-0.5049610547215204,20.0,20.0,19.5,16.5,19.933333333333334,True,False,False,True
2023-05-02,16.5,122,1,5,0.8631421280499114,-0.5049610547215204,16.5,16.5,16.5,15.0,16.5,False,False,True,True
2023-05-03,19.25,123,2,5,0.854322169749827,-0.5197438121555155,18.5,18.5,18.5,16.0,18.525,False,True,False,True
2023-05-03,23.0,123,2,5,0.854322169749827,-0.5197438121555155,20.0,20.0,19.5,16.5,20.05,True,False,False,True
2023-05-03,18.5,123,2,5,0.854322169749827,-0.5197438121555155,16.5,16.5,16.5,15.0,16.566666666666666,False,False,True,True
2023-05-04,23.0,124,3,5,0.8452490573530633,-0.5343725582809786,23.0,20.0,19.5,16.5,20.166666666666668,True,False,False,True
2023-05-04,18.5,124,3,5,0.8452490573530633,-0.5343725582809786,18.5,16.5,16.5,15.0,16.633333333333333,False,False,True,True
2023-05-04,20.0,124,3,5,0.8452490573530633,-0.5343725582809786,19.25,18.5,18.5,16.0,18.575,False,True,False,True
