pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_50g-100g,specInfo_100g-200g,prodPcat_淡水鱼
2022-07-21,30.0,202,3,7,-0.3294084822245302,-0.9441875088341994,31.0,31.0,32.0,35.0,32.583333333333336,True,False,True
2022-07-21,44.0,202,3,7,-0.3294084822245302,-0.9441875088341994,44.0,39.5,35.0,40.0,38.71666666666667,False,True,True
2022-07-22,30.0,203,4,7,-0.3456123126707333,-0.9383773917408642,30.0,31.0,32.0,35.0,32.516666666666666,True,False,True
2022-07-22,44.0,203,4,7,-0.3456123126707333,-0.9383773917408642,44.0,39.5,35.0,40.0,39.016666666666666,False,True,True
2022-07-23,30.0,204,5,7,-0.3617137307297674,-0.9322892131745134,30.0,31.0,33.5,35.0,32.4,True,False,True
2022-07-23,44.0,204,5,7,-0.3617137307297674,-0.9322892131745134,44.0,39.5,37.5,40.0,39.233333333333334,False,True,True
2022-07-24,30.0,205,6,7,-0.37770796520396466,-0.9259247771938499,30.0,31.0,33.5,35.0,32.28333333333333,True,False,True
2022-07-24,44.0,205,6,7,-0.37770796520396466,-0.9259247771938499,44.0,40.5,37.5,40.0,39.45,False,True,True
2022-07-25,30.0,206,0,7,-0.39359027665646645,-0.9192859697186105,30.0,31.0,33.5,35.0,32.166666666666664,True,False,True
2022-07-25,44.0,206,0,7,-0.39359027665646645,-0.9192859697186105,44.0,44.0,37.5,40.0,39.666666666666664,False,True,True
2022-07-26,30.0,207,1,7,-0.4093559588156211,-0.9123747579707274,30.0,31.0,33.5,35.0,32.05,True,False,True
2022-07-26,44.0,207,1,7,-0.4093559588156211,-0.9123747579707274,44.0,44.0,37.5,40.0,39.88333333333333,False,True,True
2022-07-27,30.0,208,2,7,-0.42500033996955394,-0.9051931898913975,30.0,31.0,33.5,35.0,31.933333333333334,True,False,True
2022-07-27,44.0,208,2,7,-0.42500033996955394,-0.9051931898913975,44.0,44.0,37.5,40.0,40.1,False,True,True
2022-07-28,44.0,209,3,7,-0.4405187843504952,-0.8977433935342336,44.0,44.0,37.5,36.5,40.31666666666667,False,True,True
