pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_进口果
2022-07-20,10.5,201,2,7,-0.3131070409358267,-0.9497178427914317,10.386666666666667,9.706666666666667,7.1,8.5,8.856666666666666,True,True
2022-07-21,10.295454545454545,202,3,7,-0.3294084822245302,-0.9441875088341994,10.5,9.82,7.213333333333333,8.445454545454545,8.959404040404042,True,True
2022-07-22,10.090909090909092,203,4,7,-0.3456123126707333,-0.9383773917408642,10.295454545454545,9.933333333333334,7.326666666666666,8.39090909090909,9.051545454545453,True,True
2022-07-23,9.886363636363637,204,5,7,-0.3617137307297674,-0.9322892131745134,10.090909090909092,10.046666666666667,7.4399999999999995,8.336363636363636,9.133090909090907,True,True
2022-07-24,9.681818181818182,205,6,7,-0.37770796520396466,-0.9259247771938499,9.886363636363637,10.16,7.553333333333333,8.281818181818181,9.204040404040404,True,True
2022-07-25,9.477272727272727,206,0,7,-0.39359027665646645,-0.9192859697186105,9.681818181818182,10.273333333333333,7.666666666666666,8.227272727272727,9.264393939393939,True,True
2022-07-26,9.272727272727273,207,1,7,-0.4093559588156211,-0.9123747579707274,9.477272727272727,10.386666666666667,7.779999999999999,8.172727272727274,9.314151515151513,True,True
2022-07-27,9.068181818181818,208,2,7,-0.42500033996955394,-0.9051931898913975,9.272727272727273,10.5,7.893333333333333,8.118181818181819,9.353313131313131,True,True
2022-07-28,8.863636363636363,209,3,7,-0.4405187843504952,-0.8977433935342336,9.068181818181818,10.295454545454545,8.006666666666666,8.063636363636364,9.381878787878787,True,True
2022-07-29,8.659090909090908,210,4,7,-0.455906693508459,-0.8900275764346766,8.863636363636363,10.090909090909092,8.12,8.00909090909091,9.399848484848485,True,True
2022-07-30,8.454545454545455,211,5,7,-0.47115950767386394,-0.8820480249558535,8.659090909090908,9.886363636363637,8.233333333333333,7.954545454545455,9.407222222222222,True,True
2022-07-31,8.25,212,6,7,-0.4862727071086902,-0.8738071036110807,8.454545454545455,9.681818181818182,8.346666666666666,7.9,9.404,True,True
2022-08-01,8.175,213,0,8,-0.5012418134457756,-0.8653072543632061,8.25,9.477272727272727,8.459999999999999,7.75,9.3945,True,True
2022-08-02,8.1,214,1,8,-0.5160623910158526,-0.8565509959010037,8.175,9.272727272727273,8.573333333333332,7.6000000000000005,9.378722222222223,True,True
2022-08-03,8.025,215,2,8,-0.5307300481619331,-0.8475409228928312,8.1,9.068181818181818,8.686666666666667,7.45,9.356666666666666,True,True
2022-08-04,7.95,216,3,8,-0.5452404385406507,-0.8382797052177745,8.025,8.863636363636363,8.8,7.300000000000001,9.328333333333335,True,True
2022-08-05,7.875,217,4,8,-0.5595892624101763,-0.828770087174504,7.95,8.659090909090908,8.913333333333334,7.15,9.293722222222222,True,True
2022-08-06,7.8,218,5,8,-0.5737722679043243,-0.8190148866680802,7.875,8.454545454545455,9.026666666666667,7.0,9.252833333333335,True,True
2022-08-07,7.725,219,6,8,-0.5877852522924734,-0.8090169943749472,7.8,8.25,9.14,6.8500000000000005,9.205666666666666,True,True
2022-08-08,7.65,220,0,8,-0.6016240632249227,-0.7987793728863648,7.725,8.175,9.253333333333334,6.7,9.152222222222223,True,True
2022-08-09,7.575,221,1,8,-0.6152845999633277,-0.7883050558305253,7.65,8.1,9.366666666666667,6.550000000000001,9.0925,True,True
2022-08-10,7.5,222,2,8,-0.6287628145958345,-0.7775971469736268,7.575,8.025,9.48,6.4,9.0265,True,True
