pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_特菜
2022-07-20,56.142857142857146,201,2,7,-0.3131070409358267,-0.9497178427914317,55.92857142857143,54.642857142857146,49.0,28.0,52.642857142857146,True,True
2022-07-21,56.357142857142854,202,3,7,-0.3294084822245302,-0.9441875088341994,56.142857142857146,54.857142857142854,49.2,28.0,52.88142857142857,True,True
2022-07-22,56.57142857142857,203,4,7,-0.3456123126707333,-0.9383773917408642,56.357142857142854,55.07142857142857,49.4,28.0,53.12047619047619,True,True
2022-07-23,56.785714285714285,204,5,7,-0.3617137307297674,-0.9322892131745134,56.57142857142857,55.285714285714285,49.6,28.0,53.36,True,True
2022-07-24,57.0,205,6,7,-0.37770796520396466,-0.9259247771938499,56.785714285714285,55.5,49.8,28.0,53.6,True,True
2022-07-25,57.214285714285715,206,0,7,-0.39359027665646645,-0.9192859697186105,57.0,55.714285714285715,50.0,28.0,53.840476190476195,True,True
2022-07-26,57.42857142857143,207,1,7,-0.4093559588156211,-0.9123747579707274,57.214285714285715,55.92857142857143,50.2,28.0,54.08142857142857,True,True
2022-07-27,57.642857142857146,208,2,7,-0.42500033996955394,-0.9051931898913975,57.42857142857143,56.142857142857146,50.4,28.0,54.322857142857146,True,True
2022-07-28,57.857142857142854,209,3,7,-0.4405187843504952,-0.8977433935342336,57.642857142857146,56.357142857142854,50.6,28.0,54.5647619047619,True,True
2022-07-29,58.07142857142857,210,4,7,-0.455906693508459,-0.8900275764346766,57.857142857142854,56.57142857142857,50.8,28.0,54.80714285714286,True,True
2022-07-30,58.285714285714285,211,5,7,-0.47115950767386394,-0.8820480249558535,58.07142857142857,56.785714285714285,51.0,28.0,55.05,True,True
2022-07-31,58.5,212,6,7,-0.4862727071086902,-0.8738071036110807,58.285714285714285,57.0,51.3,28.0,55.29,True,True
2022-08-01,59.2,213,0,8,-0.5012418134457756,-0.8653072543632061,58.5,57.214285714285715,51.6,28.1,55.54333333333333,True,True
